==1514234== Lackey, an example Valgrind tool
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b28,8
I  0401b58d,4
 L 04031ea0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b20,8
I  0401b58d,4
 L 04031eb0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032bb0,8
I  0401b58d,4
 L 04031ec0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032bc8,8
I  0401b58d,4
 L 04031ed0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b48,8
I  0401b58d,4
 L 04031ee0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b50,8
I  0401b58d,4
 L 04031ef0,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032b58,8
I  0401b58d,4
 L 04031f00,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b5a0,3
I  0401b5a3,3
I  0401b5a6,4
I  0401b5aa,2
I  0401b580,3
I  0401b583,3
I  0401b586,3
I  0401b589,4
 S 04032c58,8
I  0401b58d,4
 L 04031f10,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b5a0,3
I  0401b5a3,3
I  0401b5a6,4
I  0401b5aa,2
I  0401b580,3
I  0401b583,3
I  0401b586,3
I  0401b589,4
 S 04032c50,8
I  0401b58d,4
 L 04031f20,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b5a0,3
I  0401b5a3,3
I  0401b5a6,4
I  0401b5aa,2
I  0401b580,3
I  0401b583,3
I  0401b586,3
I  0401b589,4
 S 04032cb8,8
I  0401b58d,4
 L 04031f30,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032c30,8
I  0401b58d,4
 L 04031f40,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032c28,8
I  0401b58d,4
 L 04031f50,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b59a,4
I  0401b59e,2
I  0401b589,4
 S 04032c38,8
I  0401b58d,4
 L 04031f60,8
I  0401b591,4
I  0401b595,3
I  0401b598,2
I  0401b5e8,7
 L 04032e06,1
I  0401b5ef,7
 L 04032bb0,8
I  0401b5f6,3
I  0401b5f9,4
I  0401b5fd,6
I  0401b603,7
 L 04032b30,8
I  0401b60a,3
I  0401b60d,2
I  0401b60f,4
 M 04031e38,8
I  0401b613,7
 L 04032b28,8
I  0401b61a,3
I  0401b61d,2
I  0401b61f,4
 M 04031e98,8
I  0401b623,7
 L 04032b38,8
I  0401b62a,3
I  0401b62d,2
I  0401b62f,4
 M 04031e58,8
I  0401b633,7
 L 04032b40,8
I  0401b63a,3
I  0401b63d,2
I  0401b63f,4
 M 04031e68,8
I  0401b643,7
 L 04032c30,8
I  0401b64a,3
I  0401b64d,3
I  0401b650,2
I  0401b652,4
 M 04031f38,8
I  0401b656,7
 L 04032bc8,8
I  0401b65d,3
I  0401b660,2
I  0401b662,4
 M 04031ec8,8
I  0401b666,7
 L 04032cb8,8
I  0401b66d,3
I  0401b670,2
I  0401b672,4
 M 04031f28,8
I  0401b676,7
 L 04032d88,8
I  0401b67d,3
I  0401b680,2
I  0401b682,4
 M 04031e48,8
I  0401b686,7
 L 04032b48,8
I  0401b68d,3
I  0401b690,3
I  0401b693,6
I  0401b699,4
 L 04031ed8,8
I  0401b69d,3
I  0401b6a0,6
I  0401bada,3
I  0401badd,4
 S 04031ed8,8
I  0401bae1,5
I  0401b6a6,3
I  0401b6a9,2
I  0401b6ab,5
 L 04031eb8,8
I  0401b6b0,6
I  0401b6b6,3
I  0401b6b9,7
 L 04032b58,8
I  0401b6c0,5
 L 04031ef8,8
I  0401b6c5,6
I  0401b6cb,7
 L 04032c30,8
I  0401b6d2,3
I  0401b6d5,2
I  0401b6d7,7
 L 04032c38,8
I  0401b6de,5
 L 04031f58,8
I  0401b6e3,6
I  0401b6e9,8
 L 04032bf8,8
I  0401b6f1,6
I  0401b6f7,7
 L 04032b88,8
I  0401b6fe,3
I  0401b701,6
I  0401b707,7
 L 04032c60,8
I  0401b70e,3
I  0401b711,2
I  0401b71e,7
 L 04032c00,8
I  0401b725,3
I  0401b728,2
I  0401b738,7
 L 04032bc8,8
I  0401b73f,3
I  0401b742,2
I  0401b744,4
 L 04031f38,8
I  0401b748,3
I  0401b74b,4
I  0401b74f,4
I  0401b753,7
 L 04032c28,8
I  0401b75a,4
 L 04031f48,8
I  0401b75e,3
I  0401b761,3
I  0401b764,2
I  0401b783,3
 L 04000d70,8
I  0401b786,2
I  0401b788,2
I  0401b770,3
I  0401b773,4
I  0401b777,3
 M 04030910,8
I  0401b77a,4
I  0401b77e,3
I  0401b781,2
I  0401b783,3
 L 04000d78,8
I  0401b786,2
I  0401b788,2
I  0401b770,3
I  0401b773,4
I  0401b777,3
 M 04031db8,8
I  0401b77a,4
I  0401b77e,3
I  0401b781,2
I  0401b783,3
 L 04000d80,8
I  0401b786,2
I  0401b788,2
I  0401b78a,3
I  0401b78d,3
I  0401b790,2
I  0401b792,6
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031dc0,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031dc8,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031dd0,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031dd8,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031de0,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031de8,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031df0,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b798,2
I  0401b79a,2
I  0401b79c,3
 M 04031df8,8
I  0401b79f,4
I  0401b7a3,3
I  0401b7a6,2
I  0401b7a8,4
I  0401b7ac,7
I  0401b7b3,3
I  0401b7b6,2
I  0401b7b8,7
 L 04032e06,1
I  0401b7bf,4
I  0401b7c3,2
I  0401b7c5,7
 L 04032ad0,8
I  0401b7cc,2
I  0401b7ce,4
 S 1fff000370,16
I  0401b7d2,3
I  0401b7d5,2
I  0401b7d7,4
 S 1fff000380,16
I  0401b7db,4
 S 1fff000390,16
I  0401b7df,4
 S 1fff0003a0,16
I  0401b7e3,3
I  0401b7e6,2
I  0401b7e8,4
 L 04031ed8,8
I  0401b7ec,2
I  0401b7ee,3
I  0401b7f1,2
I  0401b7f3,4
I  0401b7f7,3
I  0401b7fa,4
I  0401b7fe,7
 L 04032b50,8
I  0401b805,4
 L 04031ee8,8
I  0401b809,5
I  0401b80e,7
 L 04032c70,8
I  0401b815,5
I  0401b81a,4
I  0401b81e,4
 S 1fff000370,16
I  0401b822,3
I  0401b825,2
I  0401b82f,3
I  0401b832,2
I  0401b834,4
 L 04031ec8,8
I  0401b838,3
I  0401b83b,7
 L 04032b20,8
I  0401b842,4
I  0401b846,4
 L 04031ea8,8
I  0401b84a,4
I  0401b84e,3
I  0401b851,4
I  0401b855,4
I  0401b859,4
I  0401b85d,4
 S 1fff000370,8
I  0401b861,3
I  0401b864,2
I  0401b871,3
I  0401b874,6
I  0401bace,3
I  0401bad1,4
 S 1fff000378,8
I  0401bad5,5
I  0401b88c,4
I  0401b890,4
I  0401b894,3
I  0401b897,7
 S 1fff000330,8
I  0401b89e,3
I  0401b8a1,4
 L 1fff000380,8
I  0401b8a5,3
 L 1fff000370,8
I  0401b8a8,4
 L 1fff000378,8
I  0401b8ac,4
I  0401b8b0,4
I  0401b8b4,7
 L 04032b40,8
I  0401b8bb,3
I  0401b8be,3
I  0401b8c1,4
 L 04031e68,8
I  0401b8c5,4
I  0401b8c9,4
I  0401b8cd,3
I  0401b8d0,6
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000cd0,8
I  0401b914,4
 L 04000cc8,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 04000746,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 04000748,8
I  0401b94f,5
 L 04000744,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04031fc0,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000ce8,8
I  0401b914,4
 L 04000ce0,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 040007be,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 040007c0,8
I  0401b94f,5
 L 040007bc,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04031fc8,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000d00,8
I  0401b914,4
 L 04000cf8,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 04000506,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 04000508,8
I  0401b94f,5
 L 04000504,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000d18,8
I  0401b914,4
 L 04000d10,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 0400069e,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 040006a0,8
I  0401b94f,5
 L 0400069c,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04032000,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000d30,8
I  0401b914,4
 L 04000d28,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 0400066e,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 04000670,8
I  0401b94f,5
 L 0400066c,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04032008,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000d48,8
I  0401b914,4
 L 04000d40,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 040007ee,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 040007f0,8
I  0401b94f,5
 L 040007ec,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04032010,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b910,4
 L 04000d60,8
I  0401b914,4
 L 04000d58,8
I  0401b918,3
I  0401b91b,4
I  0401b91f,3
I  0401b922,4
I  0401b926,4
I  0401b92a,3
I  0401b92d,2
I  0401b92f,3
I  0401b932,3
I  0401b935,2
I  0401b937,5
 L 0400084e,2
I  0401b93c,3
I  0401b93f,4
I  0401b943,8
 L 04032ad0,8
I  0401b94b,4
 L 04000850,8
I  0401b94f,5
 L 0400084c,1
I  0401b954,4
I  0401b958,4
I  0401b95c,2
I  0401b95e,3
I  0401b961,6
I  0401b967,4
I  0401b96b,4
I  0401b96f,2
I  0401b971,4
 S 04032018,8
I  0401b975,4
I  0401b979,3
I  0401b97c,2
I  0401b97e,4
I  0401b982,3
I  0401b985,2
I  0401b987,7
 L 04032ad0,8
I  0401b98e,7
 L 04032e06,1
I  0401b995,5
I  0401b8a1,4
 L 1fff0003a0,8
I  0401b8a5,3
 L 1fff000390,8
I  0401b8a8,4
 L 1fff000398,8
I  0401b8ac,4
I  0401b8b0,4
I  0401b8b4,7
 L 04032b40,8
I  0401b8bb,3
I  0401b8be,3
I  0401b8c1,4
 L 04031e68,8
I  0401b8c5,4
I  0401b8c9,4
I  0401b8cd,3
I  0401b8d0,6
I  0401b979,3
I  0401b97c,2
I  0401b97e,4
I  0401b982,3
I  0401b985,2
I  0401b9c8,7
 M 04032e04,1
I  0401b9cf,5
 S 1fff000328,8
I  04018ef0,7
I  04018ef7,7
 S 04031a28,8
I  04018efe,7
I  04018f05,7
 S 04031a20,8
I  04018f0c,7
I  04018f13,7
 S 04031a18,8
I  04018f1a,7
I  04018f21,7
 S 04031a10,8
I  04018f28,1
 L 1fff000328,8
I  0401b9d4,7
I  0401b9db,7
 S 04031e00,8
I  0401b9e2,2
I  0401b9e4,7
I  0401b9eb,3
I  0401b9ee,4
I  0401b9f2,3
I  0401b9f5,7
 S 04031a60,8
I  0401b9fc,5
 S 1fff000328,8
I  040102e0,7
 L 04032d88,8
I  040102e7,3
I  040102ea,3
I  040102ed,2
I  040102ef,4
 L 04031e48,8
I  040102f3,7
 L 04032e06,1
I  040102fa,2
I  040102fc,2
 L 040003a0,4
I  040102fe,6
 S 04032ddc,4
I  04010304,3
 L 040003a8,4
I  04010307,3
 L 040003a4,4
I  0401030a,4
I  0401030e,3
I  04010311,2
I  04010313,7
 S 04032de0,4
I  0401031a,4
I  0401031e,3
 L 040003ac,4
I  04010321,3
I  04010324,7
 S 04032de8,8
I  0401032b,6
 S 04032de4,4
I  04010331,3
I  04010334,4
I  04010338,7
 S 04032df0,8
I  0401033f,4
I  04010343,7
 S 04032df8,8
I  0401034a,1
 L 1fff000328,8
I  0401ba01,5
 L 1fff000360,16
I  0401ba06,7
 L 1fff000358,8
I  0401ba0d,7
I  0401ba14,7
 S 04032af8,8
I  0401ba1b,7
 S 04031a48,8
I  0401ba22,7
 S 04032e40,16
I  0401ba29,5
 S 1fff000328,8
I  0401a040,1
 S 1fff000320,8
I  0401a041,3
I  0401a044,4
I  0401a048,7
 S 04031a48,8
I  0401a04f,3
I  0401a052,5
 S 1fff0002f8,8
I  040194e0,2
 S 1fff0002f0,8
I  040194e2,4
I  040194e6,3
I  040194e9,1
 S 1fff0002e8,8
I  040194ea,1
 S 1fff0002e0,8
I  040194eb,7
I  040194f2,4
 L 1fff0003f0,8
I  040194f6,7
 S 04031a78,8
I  040194fd,6
 S 04031a80,4
I  04019503,2
I  04019505,5
I  0401950a,4
 L 1fff000410,8
I  0401950e,7
 S 040332e0,8
I  04019515,2
I  04019517,9
I  04019520,4
I  04019524,4
 L 1fff000418,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000420,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000428,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000430,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000438,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000440,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000448,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000450,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000458,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000460,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000468,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000470,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000478,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000480,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000488,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000490,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff000498,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004a0,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004a8,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004b0,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004b8,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004c0,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004c8,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004d0,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004d8,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004e0,8
I  04019528,2
I  04019520,4
I  04019524,4
 L 1fff0004e8,8
I  04019528,2
I  0401952a,2
I  0401952c,5
I  04019531,4
I  04019535,5
I  0401953a,3
 S 1fff000140,8
I  0401953a,3
 S 1fff000148,8
I  0401953a,3
 S 1fff000150,8
I  0401953a,3
 S 1fff000158,8
I  0401953a,3
